Individual ID,Age,Gender,Party Registration,Q1,Q2,Q3,Q4,Q5,Q6,Q7
107,89,F,R,1,2,2,2,2,2,2
108,81,F,R,1,2,2,2,2,2,2
109,80,F,R,1,2,2,2,2,2,2
110,55,M,R,1,4,3,2,2,2,2
111,77,F,D,1,1,1,1,1,2,1
112,76,F,R,1,2,2,2,2,2,2
113,67,M,I,3,1,1,1,1,1,3
114,80,M,D,1,4,1,1,1,3,1
115,68,F,R,1,2,2,2,2,2,2
116,79,F,D,1,1,1,1,1,1,1
117,62,F,I,1,1,1,1,1,3,3
118,43,F,D,1,1,1,1,1,1,1
119,69,F,D,1,1,1,1,1,1,1
120,77,M,R,1,1,2,2,1,2,2
121,26,F,R,1,4,2,2,3,2,2
122,65,F,I,3,1,3,1,1,2,3
123,87,F,R,1,2,2,2,2,2,2
124,73,F,D,4,4,2,1,2,2,1
125,71,F,R,2,2,2,2,2,2,2
126,89,M,R,1,2,5,4,2,2,3
127,81,M,R,1,2,3,1,2,2,2
128,54,F,R,5,4,3,4,2,3,3
129,78,F,I,6,4,2,1,2,2,3
130,57,M,I,1,1,1,1,1,2,3
131,57,F,I,2,1,3,1,1,2,2
132,77,F,R,2,2,2,2,1,2,2
133,97,F,D,1,1,1,1,1,1,1
134,63,F,R,1,2,2,2,2,2,3
135,85,F,R,1,4,2,2,2,2,2
136,67,F,R,1,2,2,2,2,2,2
137,63,M,R,1,2,2,2,2,2,2
138,72,F,D,1,2,2,2,2,2,3
139,96,M,R,2,4,2,2,1,3,2
140,69,M,I,1,1,1,1,1,1,3
141,56,F,D,1,1,1,1,1,3,1
142,55,M,R,1,2,2,2,2,2,2
143,64,M,D,1,1,1,1,1,1,1
144,62,M,I,1,2,3,2,2,2,3
145,71,M,R,2,2,1,1,2,2,2
146,51,F,R,1,2,1,1,2,2,2
147,65,M,R,1,2,2,2,2,2,2
148,64,F,R,1,2,2,2,2,2,2
149,52,F,I,1,1,5,1,1,1,1
150,63,F,I,2,1,1,1,1,3,3
151,75,F,R,2,1,3,1,1,2,3
152,71,F,R,1,2,2,2,2,2,3
153,69,M,I,1,1,1,1,1,1,1
154,60,M,I,1,4,2,2,2,2,3
155,45,M,I,1,2,3,2,2,2,3
156,100,M,R,1,1,2,2,2,2,3
157,84,F,R,1,4,2,2,2,2,3
158,67,F,D,1,1,1,1,1,1,1
159,67,F,I,3,2,3,4,2,2,3
160,61,F,D,2,1,1,1,1,2,1
161,78,F,D,1,2,1,1,2,1,3
162,64,F,I,1,1,2,2,1,2,3
163,73,F,D,2,1,3,4,1,2,1
164,73,F,R,1,2,2,2,2,2,2
165,62,M,R,1,1,1,1,1,1,3
166,68,F,D,1,1,1,1,1,1,1
167,88,F,D,1,1,1,1,1,2,3
168,69,F,R,1,2,3,2,2,2,2
169,91,F,D,1,2,2,2,2,2,2
170,75,F,R,1,2,2,2,2,2,2
171,67,M,I,1,1,3,4,1,1,3
172,52,F,D,1,1,3,1,1,1,1
173,65,F,D,1,1,3,4,1,1,3
174,63,F,R,4,4,5,4,3,3,2
175,88,F,D,1,1,3,1,1,3,1
176,91,F,R,2,2,2,2,2,2,3
177,67,F,R,3,2,2,2,2,2,2
178,67,F,R,2,2,2,2,2,2,2
179,68,M,R,1,2,2,2,2,2,2
180,74,F,I,1,1,1,1,1,1,1
181,75,F,R,1,2,2,2,2,2,2
182,57,F,D,2,1,2,2,1,1,3
183,40,F,D,1,1,1,1,1,3,1
184,62,M,I,6,4,3,4,2,2,3
185,64,F,R,2,2,3,4,1,2,3
186,76,F,R,1,2,3,2,2,2,3
187,58,F,R,1,4,2,2,2,2,2
188,55,F,R,1,2,2,2,1,2,2
189,70,M,R,1,2,2,2,2,2,2
190,76,F,R,1,2,2,2,2,2,2
191,73,F,D,3,1,1,1,1,3,1
192,72,M,I,1,4,2,2,2,1,3
193,71,M,I,2,2,3,4,2,2,3
194,38,F,D,1,1,3,1,1,1,3
195,51,F,R,2,2,2,2,1,3,2
196,70,F,D,1,2,2,2,2,2,1
197,55,M,D,2,1,1,1,1,2,1
198,63,M,R,1,2,2,2,2,2,3
199,77,M,R,2,2,2,2,2,2,2
200,71,F,R,2,1,1,1,1,2,2
201,92,M,R,3,2,2,2,2,2,2
202,89,F,D,1,1,2,2,2,1,1
203,50,F,R,2,2,3,2,2,2,3
204,61,F,R,1,2,2,2,2,2,2
205,77,F,R,1,2,2,2,2,2,2
206,60,F,I,1,2,2,2,2,2,2
207,73,F,R,1,2,3,1,2,2,2
208,79,M,D,1,1,1,1,1,1,1
209,46,F,R,1,2,2,2,2,2,2
210,65,F,D,3,1,1,1,1,3,1
211,83,F,D,1,4,1,2,2,3,1
212,60,F,D,3,1,1,1,1,1,1
213,81,F,D,1,1,1,1,1,2,1
214,90,F,R,1,2,2,2,2,2,2
215,87,M,R,2,2,2,2,3,2,3
216,50,M,I,1,4,1,1,1,1,3
217,77,F,I,1,1,1,1,1,1,3
218,69,F,R,1,2,2,2,2,2,3
219,91,M,D,1,1,1,1,1,1,4
220,56,M,I,1,1,1,1,1,1,3
221,78,F,I,1,1,3,1,1,2,3
222,74,F,D,4,2,3,2,2,2,1
223,31,F,D,1,1,1,1,1,1,1
224,66,M,I,2,1,1,1,1,2,2
225,83,F,D,1,1,1,1,2,1,3
226,74,M,R,1,1,2,2,1,2,2
227,74,F,R,1,4,5,4,2,2,2
228,67,F,D,3,1,1,1,1,3,1
229,71,F,R,1,2,2,2,2,2,2
230,59,M,R,3,1,5,2,1,3,3
231,56,F,D,1,1,3,1,1,2,1
232,62,F,D,1,1,1,1,1,1,1
233,55,F,R,1,2,2,2,2,2,2
234,72,F,D,1,1,1,1,1,1,1
235,55,F,D,1,1,3,2,1,3,3
236,92,F,D,1,1,1,1,1,3,3
237,57,M,R,2,4,1,1,2,2,2
238,56,F,D,1,4,1,1,2,2,2
239,73,F,I,1,2,5,2,2,2,2
240,90,F,R,1,2,2,2,2,2,3
241,71,F,D,1,1,1,1,1,2,1
242,85,F,D,1,1,3,4,1,1,3
243,81,F,D,1,2,3,2,2,3,3
244,86,F,D,3,1,3,1,1,1,1
245,87,F,R,1,2,2,2,2,2,2
246,60,M,I,3,2,3,1,2,2,2
247,40,F,I,5,2,1,1,2,2,3
248,70,F,D,5,1,1,1,1,1,1
249,63,F,I,1,2,2,2,2,2,3
250,47,F,I,1,1,1,1,1,3,3
251,90,M,D,1,1,1,1,1,1,3
252,59,F,R,5,2,2,2,2,2,3
253,58,F,R,1,2,2,2,2,2,3
254,85,F,R,1,2,3,2,2,2,3
255,65,M,D,1,1,1,1,1,2,3
256,68,F,I,1,2,2,2,2,2,3
257,71,F,R,1,1,3,4,1,3,2
258,81,F,R,1,4,2,2,3,2,2
259,48,M,I,1,1,1,1,1,2,3
260,54,M,R,2,2,3,2,2,2,3
261,67,M,I,1,2,1,2,2,2,2
262,52,F,D,1,1,1,1,1,1,1
263,71,F,I,3,1,3,1,1,2,3
264,58,F,I,1,1,2,2,1,3,3
265,73,F,I,1,1,3,4,3,2,3
266,58,M,R,1,2,2,2,2,2,2
267,73,M,R,1,2,2,2,2,2,3
268,66,M,R,1,2,3,2,2,2,2
269,69,M,R,1,4,1,1,2,2,2
270,58,F,D,5,1,5,4,1,1,1
271,70,F,R,1,2,2,2,2,2,2
272,47,F,R,1,2,2,2,2,2,2
273,79,F,D,1,1,1,1,1,1,1
274,77,F,D,1,1,1,1,1,1,1
275,86,M,R,1,2,2,2,1,2,2
276,86,F,D,1,1,1,1,1,1,1
277,80,F,R,2,1,2,2,1,2,3
278,81,F,D,1,1,1,1,1,1,1
279,62,F,D,1,2,3,1,1,2,1
280,64,M,D,1,4,1,1,2,3,3
281,73,F,R,1,2,2,2,2,2,2
282,77,F,R,1,2,2,2,2,2,2
283,62,F,R,1,2,1,1,2,2,3
284,57,M,R,1,1,1,1,1,2,3
285,78,M,D,2,2,3,2,2,2,3
286,80,F,R,1,4,3,3,1,2,3
287,74,M,R,1,2,2,2,2,3,2
288,80,M,R,1,2,2,2,2,2,2
289,70,F,R,1,4,2,2,2,2,3
290,73,F,R,3,1,3,2,1,3,3
291,58,M,R,1,2,2,2,2,2,3
292,70,F,R,1,2,3,2,2,2,3
293,72,F,R,1,2,5,4,2,2,3
294,81,M,R,1,2,2,2,2,2,2
295,84,F,R,1,2,2,2,2,2,2
296,74,M,D,1,1,3,1,1,2,3
297,57,F,I,2,2,3,2,2,2,3
298,70,F,D,3,1,1,1,1,1,1
299,72,F,R,3,2,3,2,2,2,2
300,61,F,R,1,2,2,2,2,2,2
301,72,F,R,1,1,1,1,1,2,3
302,30,F,D,1,1,1,1,1,1,1
303,78,F,R,1,2,2,2,2,2,2
304,86,F,R,3,2,2,2,2,2,2
305,68,M,R,1,2,5,2,2,1,2
306,69,F,D,1,1,1,1,1,1,3
307,91,F,R,1,4,2,2,1,2,2
308,75,F,R,1,2,2,2,2,2,2
309,41,F,R,1,2,3,2,2,2,2
310,81,F,D,1,1,1,1,1,1,1
311,59,M,D,1,1,2,2,1,2,1
312,89,M,D,5,1,3,1,1,2,3
313,74,F,I,1,2,2,2,2,2,3
314,70,M,I,1,1,1,1,1,3,3
315,55,M,R,1,2,2,2,2,2,2
316,68,F,D,3,1,1,1,1,1,1
317,80,F,D,3,1,3,1,2,3,1
318,67,F,D,1,1,2,1,1,1,1
319,78,M,R,1,2,2,2,2,2,2
320,72,F,D,1,2,2,2,2,2,3
321,56,M,I,1,4,3,4,2,2,3
322,83,M,R,1,2,2,2,2,2,2
323,90,F,I,1,4,2,2,2,2,3
324,64,F,R,1,2,2,2,2,2,2
325,61,F,R,1,2,2,2,2,2,2
326,59,F,I,2,2,2,2,1,2,3
327,65,F,D,2,4,1,2,1,3,1
328,56,F,R,1,2,2,2,2,2,2
329,69,F,R,3,1,1,1,1,3,1
330,78,F,R,1,1,1,1,1,1,3
331,77,M,D,1,1,1,1,1,1,1
332,80,F,R,2,1,5,1,1,3,3
333,48,M,I,2,2,1,2,2,3,2
334,77,M,R,1,2,2,2,2,2,2
335,39,F,D,1,1,1,1,1,1,1
336,66,M,R,1,2,2,2,2,2,3
337,42,F,R,6,2,2,2,2,2,2
338,82,M,I,1,2,2,2,2,2,3
339,56,M,D,1,2,1,1,2,2,1
340,63,F,D,1,1,3,1,1,1,1
341,76,F,R,1,2,2,2,2,2,2
342,95,M,R,1,4,2,2,1,2,2
343,93,F,R,1,2,2,2,2,1,2
344,49,F,D,1,1,1,1,1,3,1
345,66,M,D,2,1,5,4,1,3,3
346,67,F,I,2,1,1,1,1,1,3
347,71,F,R,1,2,2,2,2,2,3
348,58,F,D,3,1,1,1,1,2,3
349,68,F,R,1,2,1,1,2,2,2
350,64,F,D,1,1,1,1,1,1,1
351,83,M,I,1,1,1,1,1,1,3
352,85,F,R,1,4,3,4,2,2,2
353,33,F,R,1,2,2,2,2,2,2
354,54,F,R,1,2,2,2,2,2,2
355,73,F,R,1,2,3,4,2,2,3
356,69,F,D,1,1,1,1,1,1,1
357,79,F,D,1,2,3,2,2,3,1
358,79,F,R,1,2,2,2,1,2,2
359,47,F,I,1,2,2,2,2,2,3
360,71,M,R,1,4,2,2,2,2,2
361,67,F,R,1,2,2,2,2,2,2
362,68,F,D,1,1,1,1,1,1,1
363,50,F,D,1,2,3,2,2,2,2
364,60,F,I,1,1,1,1,1,1,3
365,57,F,R,1,1,5,3,1,2,3
366,41,F,D,3,2,1,1,2,2,1
367,54,F,I,1,1,1,1,1,1,3
368,80,F,I,1,2,5,3,3,3,1
369,84,M,R,1,2,2,2,2,2,2
370,86,F,I,2,1,1,1,1,1,3
371,63,F,R,1,2,2,2,2,2,2
372,92,F,D,1,1,3,1,1,2,1
373,61,M,R,1,2,5,4,2,2,3
374,69,M,R,1,2,2,2,2,2,2
375,52,F,D,2,4,3,2,2,2,1
376,62,F,D,1,1,5,1,3,1,1
377,82,F,R,2,2,2,2,2,3,2
378,72,F,D,3,1,1,1,1,1,1
379,66,M,R,1,1,3,1,1,2,2
380,79,M,R,2,1,3,1,1,1,3
381,71,F,D,2,1,1,1,1,2,1
382,49,F,I,3,4,3,1,2,2,4
383,59,M,I,1,1,3,2,1,2,3
384,79,M,D,1,1,1,1,1,1,1
385,73,M,I,3,2,3,2,2,2,3
386,55,F,R,1,2,3,1,2,2,2
387,75,F,D,1,1,1,1,1,1,1
388,74,M,D,2,2,1,1,1,3,3
389,81,F,R,1,4,2,2,2,2,2
390,45,F,D,1,1,3,1,1,2,1
391,66,F,R,2,2,5,4,2,3,3
392,83,F,R,4,4,2,2,3,3,1
393,73,M,R,1,4,2,4,3,2,2
394,72,F,R,1,2,2,2,2,2,2
395,65,F,R,1,2,2,2,2,2,2
396,87,F,D,3,2,2,1,2,3,3
397,53,F,R,3,2,2,5,2,2,2
398,90,M,R,1,2,2,2,2,2,3
399,77,F,R,1,1,2,2,2,2,2
400,67,F,D,1,2,2,2,2,2,2
401,70,F,R,5,2,2,2,2,2,2
402,64,F,R,1,2,3,2,2,2,2
403,89,M,D,2,2,3,1,2,3,1
404,65,M,D,1,1,1,1,1,1,3
405,56,F,R,1,1,3,3,1,2,3
406,82,F,D,1,1,1,1,1,1,1
407,45,F,D,1,1,1,1,1,1,1
408,53,M,I,1,2,1,1,2,2,2
409,71,F,R,1,2,2,2,2,2,2
410,67,M,R,1,2,2,2,2,2,2
411,52,M,R,1,2,3,1,2,2,3
412,89,F,D,1,1,1,1,1,2,3
413,81,M,R,1,2,3,1,2,3,2
414,77,F,R,2,2,2,2,2,2,2
415,78,M,D,2,1,1,1,1,2,1
416,65,F,D,3,1,1,1,1,2,1
417,53,F,D,1,2,2,2,2,2,3
418,83,F,R,1,2,2,2,2,2,3
419,54,M,D,3,1,1,1,1,3,1
420,76,F,D,1,1,1,1,1,1,1
421,60,M,R,1,2,2,2,2,2,2
422,53,F,I,2,2,2,2,2,1,1
423,68,F,R,4,2,2,2,2,2,2
424,85,F,D,1,1,3,2,2,2,1
425,72,F,R,1,4,2,2,2,3,2
426,91,F,D,1,4,3,2,1,2,1
427,50,F,R,3,2,2,2,1,3,2
428,82,F,D,1,1,1,1,1,1,1
429,32,F,R,1,2,3,2,2,2,3
430,91,F,R,3,2,2,2,2,2,2
431,72,F,R,1,2,2,2,2,2,2
432,68,M,I,1,1,1,1,1,1,3
433,59,M,D,1,1,1,1,1,1,1
434,75,F,R,5,2,2,2,1,7,2
435,82,F,R,1,4,5,4,2,2,3
436,60,F,I,1,4,1,1,2,2,3
437,62,M,R,1,1,3,1,2,3,3
438,63,F,I,1,1,1,1,1,3,3
439,74,F,R,2,2,2,2,2,3,2
440,56,F,R,1,1,5,1,1,1,1
441,68,M,R,1,2,3,2,2,2,2
442,78,F,D,1,4,1,1,2,2,2
443,60,F,R,2,2,1,1,2,2,2
444,84,F,R,2,2,2,2,2,2,2
445,70,F,D,2,2,1,1,2,3,3
446,74,F,D,1,1,1,1,1,2,1
447,72,M,R,5,1,1,1,1,1,3
448,62,F,D,1,1,1,1,1,2,3
449,71,F,R,1,2,2,2,2,2,2
450,68,M,R,1,2,2,2,2,2,2
451,90,M,D,2,4,1,1,1,2,1
452,56,M,I,4,1,2,1,1,1,4
453,53,F,D,2,1,3,1,1,2,3
454,71,F,D,1,1,1,1,1,1,1
455,66,F,D,2,1,1,1,1,1,1
456,78,F,R,2,2,3,1,2,2,3
457,42,F,D,1,1,3,1,1,3,3
458,75,F,D,5,2,1,1,2,1,3
459,75,M,R,1,2,2,2,2,2,2
460,90,M,R,1,2,5,4,2,2,3
461,74,F,D,3,1,1,1,1,1,1
462,65,M,R,1,2,2,2,2,2,2
463,70,M,D,1,1,1,1,1,1,1
464,68,F,I,6,1,1,1,2,2,1
465,78,F,D,1,1,1,1,1,2,3
466,70,M,D,1,1,3,1,1,2,3
467,73,F,R,1,2,2,2,2,2,2
468,51,M,I,2,4,2,2,2,1,3
469,84,F,R,1,2,2,2,2,2,2
470,85,F,D,3,1,1,4,1,4,1
471,82,M,D,2,1,1,1,1,3,1
472,87,F,D,6,1,5,4,1,1,1
473,64,M,D,1,1,1,1,1,1,1
474,89,M,I,1,1,3,1,1,1,3
475,79,F,R,1,2,2,2,2,2,2
476,82,F,D,4,1,1,1,1,1,1
477,68,F,D,1,1,1,1,1,1,1
478,66,F,R,1,2,2,2,2,2,2
479,65,M,R,4,1,1,1,1,3,1
480,82,M,D,2,1,3,1,1,3,1
481,51,F,I,3,4,3,2,3,2,3
482,88,F,R,1,2,3,2,2,5,3
483,67,F,D,4,1,5,1,1,2,1
484,70,F,D,1,1,1,1,1,2,1
485,69,F,I,1,2,2,2,2,2,2
486,74,F,R,3,1,5,4,1,2,3
487,49,M,R,1,4,2,2,2,2,2
488,63,M,I,1,2,2,2,2,2,2
489,49,F,D,5,1,1,1,1,3,1
490,64,F,R,1,2,3,2,2,2,3
491,87,M,D,2,1,3,1,1,1,1
492,76,F,R,3,2,2,2,2,3,2
493,85,F,R,1,2,3,2,2,2,2
494,85,M,D,1,1,3,1,1,2,3
495,72,M,D,1,1,3,1,1,2,3
496,76,F,R,1,2,2,2,2,2,3
497,75,M,D,1,1,1,1,1,1,1
498,64,F,R,1,2,2,2,2,2,2
499,57,M,R,1,2,3,2,2,2,3
500,76,F,R,1,2,2,2,2,2,3
501,63,F,D,1,1,1,1,1,1,1
502,92,F,D,5,1,3,4,1,1,1
503,79,F,R,4,4,2,2,1,2,4
504,63,F,D,1,1,1,1,2,2,1
505,64,F,D,1,1,1,1,1,2,3
506,62,F,R,1,4,3,2,2,3,3
507,66,F,I,2,1,1,1,1,2,3
508,55,F,D,1,1,3,4,2,2,1
509,54,F,D,1,1,1,1,1,1,1
510,58,F,R,1,4,2,2,2,2,2
511,54,F,R,2,2,2,2,2,2,2
512,70,F,I,1,2,2,2,2,2,3
513,53,F,D,1,1,3,1,1,1,1
514,75,F,I,6,2,2,2,2,2,4
515,69,F,R,1,2,2,2,2,2,2
516,89,F,R,1,2,2,2,2,2,2
517,88,F,R,1,2,1,1,2,2,3
518,77,F,D,4,2,5,4,2,3,3
519,91,M,D,4,1,1,1,1,3,2
520,62,F,D,1,1,1,1,1,1,1
521,63,F,D,1,4,3,4,2,2,3
522,86,M,R,1,2,5,4,2,3,3
523,90,F,I,1,2,2,2,2,2,3
524,74,F,D,1,1,2,2,1,2,1
525,56,F,R,1,1,1,1,1,3,3
526,65,F,I,1,1,1,1,1,1,3
527,63,F,R,4,1,3,4,1,3,1
528,53,M,D,1,1,1,1,1,1,1
529,93,F,R,1,1,2,4,1,2,3
530,42,F,R,1,2,2,2,2,2,2
531,88,F,D,4,1,1,1,1,3,1
532,54,F,I,1,1,1,1,3,1,3
533,84,M,D,1,4,5,4,3,3,4
534,39,M,D,1,1,1,1,1,1,1
535,65,F,I,1,1,3,1,1,3,3
536,57,F,R,1,2,2,2,2,2,2
537,65,M,D,1,1,3,1,1,3,1
538,66,F,I,1,1,2,2,1,1,3
539,90,M,R,1,2,1,1,2,2,2
540,55,F,I,2,1,1,1,1,3,3
541,80,M,R,2,4,2,4,1,2,3
542,36,M,I,4,1,1,1,1,2,1
543,29,F,I,5,1,2,3,1,2,3
544,56,M,D,2,1,3,4,1,3,1
545,78,F,D,2,1,1,1,1,1,3
546,76,M,R,1,2,2,2,2,2,2
547,60,M,D,1,1,3,2,1,2,3
548,66,F,D,1,1,1,1,1,2,3
549,68,M,D,1,1,1,1,1,1,1
550,59,F,D,4,4,1,1,1,3,3
551,62,F,R,1,2,2,2,2,2,2
552,44,F,R,1,2,1,1,2,2,2
553,81,F,R,1,2,1,2,2,2,2
554,64,F,D,1,1,3,1,1,2,3
555,82,M,D,1,2,3,1,2,2,1
556,76,F,D,2,2,2,2,2,2,3
557,71,M,D,1,1,2,1,1,1,1
558,59,F,R,1,2,2,2,2,2,2
559,76,M,D,2,1,1,1,1,2,3
560,53,F,R,4,2,3,2,2,2,3
561,62,M,I,1,4,5,2,2,2,3
562,86,F,D,1,1,1,1,1,2,3
563,61,F,I,1,1,3,1,1,2,3
564,86,F,R,1,2,5,2,2,2,1
565,82,F,R,1,2,2,2,2,2,2
566,61,F,D,1,1,1,1,1,2,1
567,82,F,D,1,1,1,1,1,1,1
568,67,F,R,3,2,2,2,2,2,3
569,89,F,R,3,2,2,2,2,2,2
570,85,F,R,1,2,2,2,2,3,2
571,63,M,I,2,4,5,2,2,2,3
572,43,F,R,1,2,2,2,2,2,2
573,69,M,R,3,2,2,2,2,2,2
574,81,F,D,2,1,1,1,1,3,1
575,77,F,R,1,2,1,1,2,2,2
576,78,F,R,1,1,2,2,1,3,2
577,74,F,D,1,1,1,1,1,1,1
578,74,M,R,1,4,2,2,2,2,2
579,56,F,D,1,4,3,4,2,2,3
580,57,M,D,1,1,3,1,1,1,1
581,41,F,R,3,2,2,2,2,2,2
582,70,M,R,2,2,3,2,1,2,2
583,25,F,D,2,1,3,1,1,3,1
584,91,M,R,1,2,3,2,2,3,3
585,53,F,R,1,1,3,2,1,2,3
586,71,F,R,1,4,2,2,1,2,3
587,67,F,R,2,2,1,1,2,3,3
588,81,M,D,2,1,1,1,1,1,1
589,53,M,R,1,2,2,2,2,2,2
590,46,F,D,1,1,1,1,1,1,1
591,66,F,R,1,1,1,1,1,2,2
592,66,F,D,2,1,1,1,1,3,3
593,79,M,R,6,4,5,4,2,3,2
594,67,F,I,5,2,5,4,2,2,4
595,76,F,R,1,2,2,2,2,2,3
596,94,F,D,2,1,1,1,1,3,1
597,80,M,R,1,1,1,1,1,2,2
598,92,F,D,5,2,1,2,2,1,1
599,61,F,D,3,1,1,1,1,1,1
600,78,M,D,1,1,1,1,1,3,1
601,81,F,R,6,1,3,1,1,3,3
602,56,M,D,1,1,1,1,1,1,1
603,57,F,I,3,1,3,1,1,1,1
604,83,M,D,1,1,3,2,1,3,1
605,47,F,R,3,4,3,2,2,2,2
606,67,F,R,6,2,2,2,2,2,2
607,67,M,R,1,2,2,2,2,2,2
608,76,F,R,6,2,3,2,2,2,2
609,78,F,R,3,2,2,2,2,2,2
610,36,F,D,1,4,1,1,3,2,3
611,60,F,I,1,2,2,2,2,2,3
612,87,M,R,9,2,5,4,2,2,2
613,60,F,D,1,1,1,1,1,2,1
614,43,F,D,1,1,1,1,1,1,1
615,63,M,R,1,2,3,4,1,2,2
616,75,F,R,2,2,2,2,2,2,2
617,73,M,R,1,2,2,2,2,2,2
618,68,F,R,1,2,2,2,2,2,3
619,48,F,I,1,1,5,1,1,2,3
620,75,M,I,1,1,1,1,1,1,3
621,63,M,I,1,1,1,1,1,3,3
622,66,F,D,1,1,1,1,1,1,1
623,82,M,D,6,2,3,4,2,3,4
624,57,F,R,1,2,2,2,2,2,2
625,64,F,I,1,2,2,2,2,2,2
626,74,F,D,2,1,5,4,1,3,1
627,81,F,I,1,4,3,4,2,3,4
628,56,F,I,1,4,2,2,2,2,4
629,92,F,R,1,4,2,2,1,2,2
630,67,F,R,2,1,5,4,1,2,3
631,51,M,I,3,2,2,2,2,2,3
632,60,F,I,1,1,1,1,1,1,3
633,61,F,D,1,4,3,4,1,3,3
634,61,F,R,1,2,3,2,2,2,2
635,64,F,D,1,2,2,2,2,2,3
636,92,M,R,1,2,2,2,1,3,2
